,text,date
43,"Felicidades por ganar el FIFA the Best! Muchos dicen que fue un robó, pero muchos votarón por Messi así que culpa tiene él! 🥳🎊👏💪⚽️🇦🇷😎😅","Jan 18, 2024 · 8:11 PM UTC"
44,"SOCCER : @FIFAcom a dévoilé pour qui les capitaines et sélectionneurs nationaux ont voté pour le prix #FIFATheBest de joueuse féminine de l'année remis plus tôt cette semaine.  Christine Sinclair a voté pour 🇪🇸Aitana Bonmati (gagnante), 🇪🇸 Jennifer Hermoso et 🇯🇵 Hinata Miyazawa Bev Priestman a voté pour 🇪🇸 Bonmati, 🏴󠁧󠁢󠁥󠁮󠁧󠁿Keira Walsh et 🇦🇺Sam Kerr  Représentant des médias 🇨🇦 l'ami @NeilMDavidson y est allé dans l'ordre pour 🇪🇸 Bonmati, 🇪🇸 Hermoso et 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Lauren James   @CanadaSoccerFR @CanadaSoccerEN #CanWNT","Jan 18, 2024 · 8:09 PM UTC"
45,"Even Modric🇭🇷, Valverde🇺🇾 & Portugal coach 🇵🇹 voted Leo Messi for FIFA The Best 2023.👏   But some fans still crying...😂😭","Jan 16, 2024 · 6:47 AM UTC"
46,"La liga, ballondor, fifa the best, golden boot boş mu :D?","Jan 18, 2024 · 8:06 PM UTC"
47,"SOCCER : @FIFAcom  a dévoilé pour qui les capitaines et sélectionneurs nationaux ont voté pour le prix #FIFATheBest de joueur masculin de l'année remis plus tôt cette semaine  Les trois votes de Milan Borjan ont été pour  🇦🇷Messi (gagnant) 🇳🇴 Haaland et 🇭🇷Marcelo Brozovic Les trois votes de Mauro Biello ont été pour 🇦🇷Messi (gagnant) 🇫🇷 Mbappé et 🇳🇴 Haaland  Pour la petite histoire @NeilMDavidson représentant 🇨🇦 des médias y est allé (dans l'ordre) pour... 🇳🇴 Haaland, 🇦🇷Messi (gagnant) et 🇫🇷 Mbappé @CanadaSoccerFR @CanadaSoccerEN #CanMNT","Jan 18, 2024 · 8:03 PM UTC"
48,This isn’t FIFA the best award nauu,"Jan 18, 2024 · 8:02 PM UTC"
49,There was a fifa the best messi✊,"Jan 18, 2024 · 8:01 PM UTC"
50,Same way Messi won the FIFA the best. U see how robbery pains.,"Jan 18, 2024 · 8:01 PM UTC"
51,"Na so Messi take win FIFA the best 😂😂  Cus even me as a proper Messi fan, I shame for that award 😂😂","Jan 18, 2024 · 7:52 PM UTC"
52,CONTEXT: Pessi Robbed FIFA the Best.,"Jan 18, 2024 · 7:49 PM UTC"
53,What the hell is doing here this man. He’s not in the FIFA the best squad 😫,"Jan 18, 2024 · 7:46 PM UTC"
54,🇦🇷 Di Stefano won Super Ballon d'Or by votes 🇦🇷 Maradona was given an honorary Ballon d'Or 🇧🇷 Pele received an honorary Ballon d'Or too  🇵🇹 Cristiano Ronaldo earned FIFA The Best Special Award by scoring 110+ international goals 🐐,"Jan 17, 2024 · 7:55 PM UTC"
55,Messi winning Fifa the Best might actually have been the best thing that could happen. Even his own PR agencies like ESPN can't defend him anymore.   Any neutral would pick Cristano Ronaldo over Messi anyday,"Jan 17, 2024 · 6:32 PM UTC"
56,Cristiano Ronaldo at age 35 scored 48 goals in 52 games but finished 2nd in Fifa the best behind the treble winner Lewandowski.  Lionel Messi at age 35 scored 24 goals in 32 games only 9 goals in europe but he win Fifa the best ahead of the treble winner Haaland.  🫣🤫,"Jan 18, 2024 · 7:34 PM UTC"
57,On this week's pod @Ankaman616 and I discuss:  🔥 #Mourinho sacked by Roma 🇳🇬 Can Uncle Mou improve #Nigeria? 🇩🇪 #Sancho returns to Dortmund 🏆 Voting for #FIFATheBest is flawed ✋🏻 If agreed #DeBruyne is a top five Premier League midfielder of all time: where in the five is he?,"Jan 17, 2024 · 6:14 AM UTC"
58,"At this point, this award is honorary.  He is CAF’s best player and the biggest amongst the 22 outfield players today so its barely about performance(cue in Messi’s FIFA the best win). Na football politics.","Jan 18, 2024 · 7:29 PM UTC"
59,Lukaku vote Xavi over Inzaghi in FIFA The Best awards  Let that sink in,"Jan 18, 2024 · 7:29 PM UTC"
60,Messi still hasn’t posted anything regarding FIFA the best and doesn’t care about it while a certain fanbase can’t stop crying 😭😭😭,"Jan 16, 2024 · 9:04 PM UTC"
61,And later you pple will be saying messi robbed balon d'or and FIFA the best awards..🙄🙄🙄🙄🙄,"Jan 18, 2024 · 7:22 PM UTC"
62,"❗️ Ruud Gullit se sorprendió cuando alguien dijo que Messi se merece el premio FIFA The Best 2023.  ""Elegiste a Messi por simpatía, ¿qué más puede hacer Haaland?""","Jan 16, 2024 · 8:19 PM UTC"
